vehicle_id,departure_ts,departure_location,arrival_ts,arrival_location,distance_km,payload_kg
vehicle_34,2024-01-03 13:30:00,location_182,2024-01-04 15:00:00,location_17,55.0,6130.78
vehicle_6,2024-01-03 04:30:00,location_17,2024-01-03 13:58:33,location_299,75.0,5047.82
vehicle_36,2024-01-03 07:00:00,location_17,2024-01-03 12:00:00,location_259,43.0,1617.54
vehicle_18,2024-01-03 04:30:00,location_17,2024-01-03 10:11:44,location_27,68.0,6125.89
vehicle_7,2024-01-03 16:24:33,location_148,2024-01-03 19:43:51,location_32,65.0,6151.74
vehicle_22,2024-01-03 12:34:38,location_25,2024-01-03 19:00:00,location_17,26.0,7916.6
vehicle_18,2024-01-03 07:19:34,location_25,2024-01-03 08:08:26,location_17,26.0,5483.47
vehicle_7,2024-01-03 05:00:00,location_32,2024-01-03 11:09:57,location_148,63.0,7357.29
vehicle_18,2024-01-03 12:00:00,location_27,2024-01-03 15:00:00,location_17,69.0,6584.48
vehicle_16,2024-01-03 04:56:00,location_292,2024-01-03 07:02:17,location_17,63.0,6542.3
vehicle_10,2024-01-03 07:17:00,location_292,2024-01-03 15:00:00,location_17,63.0,6755.18
vehicle_33,2024-01-03 08:48:00,location_292,2024-01-03 11:32:52,location_17,63.0,7118.08
vehicle_11,2024-01-03 12:43:21,location_235,2024-01-03 17:54:59,location_17,227.0,8959.03
vehicle_31,2024-01-03 07:36:36,location_198,2024-01-03 13:08:12,location_17,171.0,4187.97
vehicle_4,2024-01-03 04:30:00,location_17,2024-01-03 13:55:53,location_247,12.0,2134.79
vehicle_14,2024-01-03 04:30:00,location_17,2024-01-03 12:00:00,location_214,83.0,4581.99
vehicle_32,2024-01-03 04:30:00,location_17,2024-01-03 16:32:00,location_227,96.0,5039.24
vehicle_0,2024-01-03 07:00:00,location_17,2024-01-03 13:08:36,location_247,10.0,506.32
vehicle_4,2024-01-03 04:30:00,location_17,2024-01-03 08:07:18,location_3,100.0,1241.2
vehicle_3,2024-01-03 03:30:00,location_17,2024-01-03 06:40:50,location_167,106.0,848.99
vehicle_9,2024-01-03 04:30:00,location_17,2024-01-03 09:05:18,location_3,82.0,1154.67
vehicle_23,2024-01-03 04:30:00,location_17,2024-01-03 07:00:56,location_108,57.0,2252.79
vehicle_37,2024-01-03 14:00:00,location_154,2024-01-03 19:00:00,location_32,27.0,2167.24
vehicle_16,2024-01-03 07:00:00,location_17,2024-01-03 12:17:14,location_297,157.0,4113.58
vehicle_35,2024-01-03 07:00:00,location_17,2024-01-03 10:00:00,location_108,50.0,911.88
vehicle_2,2024-01-03 08:56:51,location_167,2024-01-03 18:00:00,location_17,107.0,5817.51
vehicle_10,2024-01-03 07:00:00,location_17,2024-01-03 13:39:00,location_197,52.0,787.8
vehicle_25,2024-01-03 10:30:00,location_266,2024-01-03 19:00:00,location_32,57.0,3192.8
vehicle_29,2024-01-03 07:37:36,location_28,2024-01-03 15:18:58,location_17,170.0,3780.35
vehicle_14,2024-01-03 14:00:00,location_259,2024-01-03 16:30:00,location_17,52.0,873.46
vehicle_35,2024-01-03 07:00:00,location_17,2024-01-03 14:00:00,location_299,48.0,4723.25
vehicle_36,2024-01-03 08:09:56,location_269,2024-01-03 09:54:20,location_17,16.0,6425.17
vehicle_27,2024-01-03 08:08:34,location_269,2024-01-03 09:52:40,location_17,16.0,6425.17
vehicle_37,2024-01-03 07:36:44,location_39,2024-01-03 12:02:40,location_32,28.0,0.0
vehicle_37,2024-01-03 07:36:44,location_39,2024-01-03 12:02:40,location_32,28.0,454.44
vehicle_37,2024-01-03 07:36:44,location_39,2024-01-03 12:02:40,location_32,28.0,0.0
vehicle_23,2024-01-03 08:13:24,location_27,2024-01-03 19:00:00,location_17,76.0,6746.43
vehicle_30,2024-01-03 08:08:14,location_0,2024-01-03 10:59:41,location_78,107.0,3127.37
vehicle_30,2024-01-03 13:13:00,location_29,2024-01-03 15:00:00,location_78,91.0,3379.5
vehicle_13,2024-01-03 11:00:00,location_54,2024-01-03 15:00:00,location_17,24.0,358.44
vehicle_9,2024-01-03 12:25:08,location_48,2024-01-04 09:10:56,location_197,97.0,26995.0
vehicle_3,2024-01-03 08:02:37,location_168,2024-01-03 12:28:10,location_17,40.0,547.53
vehicle_9,2024-01-03 12:00:00,location_17,2024-01-03 12:30:00,location_247,12.0,1.0
vehicle_3,2024-01-03 08:02:37,location_168,2024-01-03 12:28:10,location_17,52.0,3069.0
vehicle_6,2024-01-04 05:00:00,location_17,2024-01-04 09:51:51,location_299,75.0,1335.45
vehicle_22,2024-01-04 04:30:00,location_17,2024-01-04 07:32:24,location_299,75.0,1834.67
vehicle_30,2024-01-04 10:35:16,location_237,2024-01-04 13:08:46,location_78,37.0,389.86
vehicle_34,2024-01-04 07:00:00,location_17,2024-01-04 08:37:25,location_167,152.0,997.4
vehicle_32,2024-01-04 07:00:00,location_17,2024-01-04 16:30:00,location_182,55.0,4878.23
vehicle_33,2024-01-04 07:00:00,location_17,2024-01-04 13:25:38,location_182,55.0,4878.23
vehicle_35,2024-01-04 07:00:00,location_17,2024-01-04 12:25:42,location_182,55.0,4810.79
vehicle_14,2024-01-04 10:22:00,location_214,2024-01-04 13:00:00,location_17,84.0,6746.43
vehicle_23,2024-01-04 04:30:00,location_17,2024-01-04 09:57:15,location_27,68.0,6125.89
vehicle_29,2024-01-04 07:00:00,location_17,2024-01-04 06:36:35,location_259,53.0,1703.44
vehicle_2,2024-01-04 04:30:00,location_17,2024-01-04 11:51:16,location_182,64.0,3127.93
vehicle_7,2024-01-04 04:30:00,location_32,2024-01-04 07:53:35,location_236,10.0,8041.59
vehicle_23,2024-01-04 06:43:33,location_25,2024-01-04 19:00:00,location_17,26.0,7256.46
vehicle_9,2024-01-04 09:11:25,location_25,2024-01-04 10:29:51,location_17,26.0,7489.73
vehicle_13,2024-01-04 07:00:00,location_17,2024-01-04 06:17:32,location_41,135.0,1614.63
vehicle_20,2024-01-04 07:00:00,location_17,2024-01-04 08:32:06,location_126,171.0,2312.89
vehicle_24,2024-01-04 07:00:00,location_17,2024-01-04 08:05:45,location_126,171.0,1965.2
vehicle_11,2024-01-04 07:00:00,location_17,2024-01-04 08:10:33,location_297,157.0,1320.42
vehicle_16,2024-01-04 05:41:00,location_292,2024-01-04 08:20:30,location_17,63.0,6973.72
vehicle_36,2024-01-04 05:29:00,location_292,2024-01-04 08:30:59,location_17,63.0,6102.37
vehicle_17,2024-01-04 06:30:00,location_292,2024-01-04 08:58:45,location_17,63.0,6102.37
vehicle_33,2024-01-04 07:00:00,location_17,2024-01-04 09:06:11,location_3,79.0,4647.5
vehicle_20,2024-01-04 07:00:00,location_17,2024-01-04 13:33:00,location_82,12.0,4085.71
vehicle_36,2024-01-04 07:00:00,location_17,2024-01-04 10:00:56,location_167,105.0,4878.23
vehicle_24,2024-01-04 08:30:00,location_242,2024-01-04 15:00:00,location_17,142.0,6940.41
vehicle_0,2024-01-04 11:45:00,location_182,2024-01-04 14:13:00,location_17,55.0,7319.34
vehicle_3,2024-01-04 04:30:00,location_17,2024-01-04 13:14:09,location_255,51.0,4660.9
vehicle_8,2024-01-04 07:00:00,location_17,2024-01-04 06:06:57,location_297,78.0,478.81
vehicle_8,2024-01-04 07:00:00,location_17,2024-01-04 11:00:00,location_54,28.0,2997.12
vehicle_37,2024-01-04 04:30:00,location_32,2024-01-04 10:18:16,location_160,79.0,5339.23
vehicle_18,2024-01-04 11:30:00,location_163,2024-01-04 16:34:16,location_17,93.0,6993.5
vehicle_29,2024-01-04 07:00:00,location_17,2024-01-04 10:48:07,location_182,56.0,4344.04
vehicle_8,2024-01-04 07:00:00,location_17,2024-01-04 06:42:52,location_297,79.0,2694.5
vehicle_34,2024-01-04 07:00:00,location_17,2024-01-04 06:28:55,location_41,18.0,262.74
vehicle_4,2024-01-04 04:30:00,location_17,2024-01-04 11:20:10,location_259,39.0,1834.68
vehicle_2,2024-01-04 04:30:00,location_17,2024-01-04 07:49:14,location_259,39.0,1834.68
vehicle_28,2024-01-04 07:00:00,location_17,2024-01-04 15:21:15,location_259,43.0,3466.17
vehicle_27,2024-01-04 07:00:00,location_17,2024-01-04 08:18:43,location_214,89.0,3466.17
vehicle_5,2024-01-04 07:00:00,location_17,2024-01-04 05:00:00,location_28,169.0,3329.84
vehicle_9,2024-01-04 04:30:00,location_17,2024-01-04 14:30:00,location_66,142.0,5017.58
vehicle_28,2024-01-04 07:00:00,location_17,2024-01-04 11:12:51,location_167,100.0,611.14
vehicle_0,2024-01-04 07:00:00,location_17,2024-01-04 08:16:25,location_127,166.0,813.32
vehicle_35,2024-01-04 07:00:00,location_17,2024-01-04 08:32:33,location_299,76.0,613.58
vehicle_25,2024-01-04 04:30:00,location_32,2024-01-04 08:10:20,location_96,83.0,1735.91
vehicle_21,2024-01-04 04:30:00,location_17,2024-01-04 07:55:07,location_299,79.0,1418.82
vehicle_18,2024-01-04 04:30:00,location_17,2024-01-04 07:47:45,location_108,57.0,2252.79
vehicle_32,2024-01-04 04:30:00,location_17,2024-01-04 12:15:01,location_182,64.0,3883.71
vehicle_23,2024-01-04 12:00:00,location_27,2024-01-04 19:00:00,location_17,69.0,6584.48
vehicle_31,2024-01-04 08:19:29,location_28,2024-01-04 12:42:31,location_17,170.0,2499.73
vehicle_3,2024-01-04 13:42:09,location_255,2024-01-04 17:00:00,location_17,53.0,6625.0
vehicle_17,2024-01-04 07:00:00,location_17,2024-01-04 12:33:14,location_297,157.0,4107.29
vehicle_14,2024-01-04 04:30:00,location_17,2024-01-04 09:32:00,location_213,138.0,1276.45
vehicle_25,2024-01-04 12:20:00,location_136,2024-01-04 19:00:00,location_32,30.0,5165.97
vehicle_30,2024-01-04 06:07:56,location_84,2024-01-04 09:49:45,location_78,78.0,4291.78
vehicle_22,2024-01-04 04:30:00,location_17,2024-01-04 14:04:33,location_99,57.0,1601.75
vehicle_3,2024-01-04 04:30:00,location_17,2024-01-04 08:45:18,location_99,64.0,2090.2
vehicle_6,2024-01-04 05:57:50,location_27,2024-01-04 08:27:32,location_17,69.0,4930.19
vehicle_4,2024-01-04 04:30:00,location_17,2024-01-04 06:07:35,location_234,40.0,2000.0
vehicle_4,2024-01-04 04:30:00,location_17,2024-01-04 07:00:00,location_54,40.0,397.41
vehicle_4,2024-01-04 04:30:00,location_17,2024-01-04 07:43:53,location_203,40.0,1965.6
vehicle_7,2024-01-04 09:54:18,location_85,2024-01-04 17:48:36,location_32,20.0,5204.11
vehicle_5,2024-01-04 08:00:00,location_28,2024-01-04 15:00:00,location_17,170.0,3785.58
vehicle_10,2024-01-04 09:23:07,location_198,2024-01-04 15:00:00,location_17,171.0,2487.55
vehicle_37,2024-01-04 15:30:00,location_148,2024-01-04 19:00:00,location_32,65.0,6151.74
vehicle_22,2024-01-04 10:29:51,location_58,2024-01-04 12:52:10,location_17,10.0,7916.42
vehicle_6,2024-01-04 11:48:08,location_167,2024-01-04 18:00:00,location_17,107.0,4895.13
vehicle_11,2024-01-04 11:00:00,location_209,2024-01-04 19:00:00,location_17,144.0,5564.26
vehicle_2,2024-01-04 13:00:00,location_259,2024-01-04 19:00:00,location_17,52.0,2465.95
vehicle_34,2024-01-04 05:54:43,location_17,2024-01-04 12:50:36,location_149,59.0,1600.0
vehicle_16,2024-01-04 13:00:00,location_99,2024-01-04 15:00:00,location_17,59.0,15743.44
vehicle_21,2024-01-04 11:00:00,location_214,2024-01-04 19:00:00,location_17,84.0,6746.43
vehicle_27,2024-01-04 10:09:59,location_259,2024-01-04 12:36:33,location_17,43.0,5088.1
vehicle_10,2024-01-04 15:00:00,location_17,2024-01-04 05:16:39,location_238,165.0,8259.76
vehicle_23,2024-01-05 04:30:00,location_17,2024-01-05 07:38:37,location_299,75.0,1834.67
vehicle_22,2024-01-05 05:00:00,location_17,2024-01-05 15:04:11,location_149,83.0,4163.02
vehicle_28,2024-01-05 07:00:00,location_17,2024-01-05 06:10:00,location_182,55.0,4878.23
vehicle_17,2024-01-05 07:00:00,location_17,2024-01-05 14:25:00,location_182,55.0,4810.79
vehicle_28,2024-01-05 07:00:00,location_17,2024-01-05 10:14:26,location_247,17.0,2201.27
vehicle_2,2024-01-05 04:30:00,location_17,2024-01-05 10:07:26,location_27,68.0,6125.89
vehicle_36,2024-01-05 07:00:00,location_17,2024-01-05 13:00:00,location_167,94.0,3212.57
vehicle_35,2024-01-05 08:49:00,location_292,2024-01-05 12:06:13,location_17,63.0,6542.3
vehicle_17,2024-01-05 06:59:00,location_292,2024-01-05 09:24:08,location_17,63.0,6542.3
vehicle_20,2024-01-05 07:00:00,location_17,2024-01-05 07:01:47,location_182,55.0,4934.51
vehicle_30,2024-01-05 06:00:00,location_78,2024-01-05 15:48:00,location_150,22.0,5497.47
vehicle_31,2024-01-05 07:00:00,location_17,2024-01-05 04:48:53,location_297,157.0,4944.3
vehicle_27,2024-01-05 07:00:00,location_17,2024-01-05 08:37:07,location_182,55.0,4878.23
vehicle_24,2024-01-05 07:00:00,location_17,2024-01-05 08:12:03,location_289,87.0,533.46
vehicle_11,2024-01-05 07:00:00,location_17,2024-01-05 09:25:29,location_209,110.0,2307.67
vehicle_11,2024-01-05 07:00:00,location_17,2024-01-05 09:25:29,location_209,34.0,0.0
vehicle_15,2024-01-05 11:30:00,location_163,2024-01-05 16:09:49,location_17,93.0,6993.5
vehicle_34,2024-01-05 07:00:00,location_17,2024-01-05 09:45:32,location_158,74.0,4318.42
vehicle_20,2024-01-05 07:00:00,location_17,2024-01-05 10:28:15,location_182,55.0,4360.88
vehicle_13,2024-01-05 07:00:00,location_17,2024-01-05 12:19:54,location_182,10.0,593.19
vehicle_24,2024-01-05 09:30:00,location_28,2024-01-05 15:00:00,location_17,159.0,6107.79
vehicle_16,2024-01-05 12:13:00,location_292,2024-01-08 15:00:00,location_17,63.0,6102.37
vehicle_8,2024-01-05 08:01:00,location_292,2024-01-05 10:21:31,location_17,63.0,6102.37
vehicle_18,2024-01-05 04:30:00,location_17,2024-01-05 08:40:46,location_259,39.0,1834.68
vehicle_33,2024-01-05 07:00:00,location_17,2024-01-05 10:26:40,location_182,55.0,4878.23
vehicle_36,2024-01-05 07:00:00,location_17,2024-01-05 06:10:00,location_182,55.0,3887.01
vehicle_8,2024-01-05 07:00:00,location_17,2024-01-05 05:18:50,location_259,53.0,1522.8
vehicle_22,2024-01-05 04:30:00,location_17,2024-01-05 07:52:13,location_259,39.0,5095.81
vehicle_18,2024-01-05 07:00:00,location_17,2024-01-05 12:51:00,location_99,60.0,3982.97
vehicle_32,2024-01-05 04:30:00,location_17,2024-01-05 16:26:00,location_137,30.0,0.0
vehicle_32,2024-01-05 04:30:00,location_17,2024-01-05 16:46:00,location_137,133.0,11970.55
vehicle_32,2024-01-05 07:00:00,location_17,2024-01-05 09:06:54,location_54,24.0,3299.87
vehicle_12,2024-01-05 07:00:00,location_17,2024-01-05 10:00:00,location_208,163.0,876.64
vehicle_8,2024-01-05 07:00:00,location_17,2024-01-05 12:06:37,location_247,10.0,506.32
vehicle_13,2024-01-05 07:00:00,location_17,2024-01-05 09:59:10,location_108,55.0,1390.25
vehicle_0,2024-01-05 07:00:00,location_17,2024-01-05 06:26:41,location_41,135.0,3263.16
vehicle_16,2024-01-05 07:00:00,location_17,2024-01-05 12:10:00,location_292,64.0,2138.97
vehicle_29,2024-01-05 07:00:00,location_17,2024-01-05 07:18:36,location_126,171.0,2534.4
vehicle_10,2024-01-05 07:00:00,location_17,2024-01-05 12:30:31,location_126,171.0,3036.61
vehicle_5,2024-01-05 07:00:00,location_17,2024-01-05 05:00:00,location_297,157.0,5414.76
vehicle_2,2024-01-05 11:28:32,location_27,2024-01-05 15:32:45,location_17,69.0,6584.48
vehicle_4,2024-01-05 04:30:00,location_17,2024-01-05 08:56:42,location_41,136.0,3833.57
vehicle_6,2024-01-05 04:30:00,location_17,2024-01-05 08:37:40,location_3,84.0,1263.39
vehicle_25,2024-01-05 04:30:00,location_32,2024-01-05 07:55:34,location_106,211.0,1373.75
vehicle_35,2024-01-05 07:00:00,location_17,2024-01-05 13:49:42,location_82,12.0,3756.6
vehicle_14,2024-01-05 09:38:01,location_182,2024-01-05 11:50:32,location_17,58.0,8006.0
vehicle_12,2024-01-05 07:00:00,location_17,2024-01-05 07:01:00,location_197,95.0,619.24
vehicle_9,2024-01-05 04:30:00,location_17,2024-01-05 14:35:00,location_259,39.0,5409.54
vehicle_28,2024-01-05 07:00:00,location_17,2024-01-05 12:38:41,location_54,25.0,1955.91
vehicle_27,2024-01-05 07:00:00,location_17,2024-01-05 12:36:15,location_259,43.0,3242.68
vehicle_9,2024-01-05 04:30:00,location_17,2024-01-05 08:53:37,location_167,108.0,6125.89
vehicle_30,2024-01-05 13:02:16,location_12,2024-01-05 17:30:00,location_78,84.0,1997.21
vehicle_13,2024-01-05 07:00:00,location_17,2024-01-05 12:19:50,location_108,51.0,3836.38
vehicle_4,2024-01-05 12:39:06,location_242,2024-01-05 18:04:03,location_17,142.0,7138.13
vehicle_0,2024-01-05 11:26:57,location_49,2024-01-05 12:51:51,location_17,35.0,4442.09
vehicle_14,2024-01-05 04:30:00,location_17,2024-01-05 08:27:21,location_299,84.0,868.13
vehicle_15,2024-01-05 04:30:00,location_17,2024-01-05 08:14:32,location_167,100.0,908.78
vehicle_3,2024-01-05 04:30:00,location_17,2024-01-05 06:26:18,location_3,82.0,800.37
vehicle_33,2024-01-05 07:00:00,location_17,2024-01-05 17:00:00,location_3,84.0,3642.72
vehicle_10,2024-01-05 12:40:55,location_242,2024-01-05 15:00:00,location_17,142.0,6940.41
vehicle_31,2024-01-05 12:05:00,location_28,2024-01-05 15:00:00,location_17,82.0,0.0
vehicle_31,2024-01-05 12:05:00,location_28,2024-01-05 15:00:00,location_17,82.0,5945.91
vehicle_5,2024-01-05 11:00:00,location_49,2024-01-05 15:00:00,location_17,35.0,3710.96
vehicle_16,2024-01-05 05:17:51,location_292,2024-01-05 08:51:55,location_17,63.0,5896.67
vehicle_17,2024-01-05 07:00:00,location_17,2024-01-05 08:00:00,location_177,33.0,734.4
vehicle_9,2024-01-05 10:00:00,location_167,2024-01-05 12:44:09,location_17,107.0,5025.77
vehicle_24,2024-01-05 09:30:00,location_17,2024-01-05 11:00:00,location_28,158.0,5000.0
vehicle_22,2024-01-05 10:31:01,location_259,2024-01-05 15:03:25,location_17,38.0,6828.8
vehicle_18,2024-01-05 11:00:42,location_259,2024-01-05 11:00:45,location_17,39.0,6458.84
vehicle_2,2024-01-05 04:30:00,location_17,2024-01-05 06:52:38,location_197,49.0,1075.98
vehicle_6,2024-01-05 04:30:00,location_17,2024-01-05 13:27:18,location_182,64.0,2815.14
vehicle_3,2024-01-05 11:00:00,location_295,2024-01-05 14:15:24,location_17,105.0,3071.4
vehicle_11,2024-01-05 10:00:00,location_209,2024-01-05 15:00:00,location_17,144.0,4525.21
vehicle_7,2024-01-05 06:35:37,location_59,2024-01-05 11:20:27,location_32,31.0,1311.05
vehicle_29,2024-01-05 08:32:14,location_242,2024-01-05 12:02:08,location_17,142.0,6940.41
vehicle_23,2024-01-05 10:10:00,location_242,2024-01-05 15:00:00,location_17,142.0,7138.13
vehicle_34,2024-01-05 15:26:12,location_28,2024-01-05 15:26:17,location_17,168.0,4838.13
vehicle_37,2024-01-05 13:34:19,location_85,2024-01-05 19:00:00,location_32,20.0,5204.11
vehicle_20,2024-01-05 12:00:00,location_234,2024-01-05 15:00:00,location_17,46.0,140.12
vehicle_13,2024-01-05 13:00:00,location_182,2024-01-05 15:00:00,location_17,55.0,362.35
vehicle_37,2024-01-05 07:32:05,location_278,2024-01-05 12:33:08,location_32,74.0,3344.18
vehicle_25,2024-01-05 11:47:22,location_107,2024-01-05 19:00:00,location_32,114.0,7074.16
vehicle_33,2024-01-05 11:00:00,location_182,2024-01-05 12:00:00,location_17,55.0,12032.03
vehicle_18,2024-01-08 05:00:00,location_17,2024-01-08 12:26:22,location_299,75.0,1335.45
vehicle_14,2024-01-08 04:30:00,location_17,2024-01-08 06:53:40,location_299,75.0,1834.68
vehicle_28,2024-01-08 07:00:00,location_17,2024-01-08 11:53:32,location_132,13.0,249.99
vehicle_32,2024-01-08 07:00:00,location_17,2024-01-08 14:59:13,location_149,83.0,4239.85
vehicle_9,2024-01-08 09:31:22,location_235,2024-01-08 16:46:00,location_17,227.0,8144.57
vehicle_25,2024-01-08 06:23:47,location_199,2024-01-08 09:00:00,location_32,74.0,6628.64
vehicle_36,2024-01-08 07:00:00,location_17,2024-01-08 14:00:00,location_140,7.0,3254.03
vehicle_37,2024-01-08 04:30:00,location_32,2024-01-08 07:00:38,location_236,10.0,7371.02
vehicle_29,2024-01-08 07:00:00,location_17,2024-01-08 05:55:22,location_182,55.0,4878.23
vehicle_13,2024-01-08 07:00:00,location_17,2024-01-08 07:50:54,location_126,171.0,6195.87
vehicle_28,2024-01-08 07:00:00,location_17,2024-01-08 14:07:54,location_182,55.0,4878.23
vehicle_4,2024-01-08 11:34:33,location_163,2024-01-08 16:56:37,location_17,93.0,6993.5
vehicle_14,2024-01-08 04:30:00,location_17,2024-01-08 14:18:05,location_255,51.0,5211.2
vehicle_8,2024-01-08 07:00:00,location_17,2024-01-08 08:57:31,location_147,79.0,3887.13
vehicle_29,2024-01-08 07:00:00,location_17,2024-01-08 09:11:06,location_234,50.0,2748.75
vehicle_3,2024-01-08 04:30:00,location_17,2024-01-08 06:44:26,location_259,39.0,1834.68
vehicle_24,2024-01-08 07:00:00,location_17,2024-01-08 14:38:13,location_297,157.0,5426.65
vehicle_8,2024-01-08 07:00:00,location_17,2024-01-08 06:30:06,location_54,102.0,2373.19
vehicle_0,2024-01-08 07:00:00,location_17,2024-01-08 08:45:10,location_127,166.0,813.33
vehicle_20,2024-01-08 07:00:00,location_17,2024-01-08 09:21:17,location_167,87.0,611.14
vehicle_17,2024-01-08 07:00:00,location_17,2024-01-08 12:00:00,location_297,185.0,1705.91
vehicle_12,2024-01-08 07:00:00,location_17,2024-01-08 06:07:34,location_209,144.0,3840.92
vehicle_27,2024-01-08 07:00:00,location_17,2024-01-08 11:12:09,location_108,50.0,911.88
vehicle_13,2024-01-08 09:00:00,location_242,2024-01-08 15:00:00,location_17,142.0,6940.41
vehicle_7,2024-01-08 04:30:00,location_32,2024-01-08 11:35:53,location_148,63.0,7357.29
vehicle_5,2024-01-08 07:00:00,location_17,2024-01-08 05:00:00,location_41,135.0,5935.35
vehicle_35,2024-01-08 07:00:00,location_17,2024-01-08 07:05:17,location_259,51.0,4343.92
vehicle_17,2024-01-08 12:00:00,location_17,2024-01-08 15:00:00,location_253,23.0,800.0
vehicle_28,2024-01-08 07:00:00,location_17,2024-01-08 10:00:00,location_108,91.0,1017.58
vehicle_36,2024-01-08 07:00:00,location_17,2024-01-08 09:00:00,location_259,43.0,939.65
vehicle_34,2024-01-08 07:00:00,location_17,2024-01-08 12:38:56,location_259,43.0,3715.87
vehicle_34,2024-01-08 13:18:00,location_292,2024-01-08 16:04:11,location_17,63.0,6102.37
vehicle_16,2024-01-08 08:14:16,location_292,2024-01-08 12:07:42,location_17,63.0,6542.3
vehicle_19,2024-01-08 05:49:00,location_292,2024-01-08 08:24:51,location_17,63.0,6102.37
vehicle_23,2024-01-08 05:42:58,location_292,2024-01-08 19:00:00,location_17,62.0,6135.41
vehicle_19,2024-01-08 07:00:00,location_17,2024-01-08 10:25:53,location_259,43.0,3013.73
vehicle_23,2024-01-08 04:30:00,location_17,2024-01-08 10:55:00,location_108,57.0,5369.89
vehicle_32,2024-01-08 07:00:00,location_17,2024-01-08 09:40:52,location_108,54.0,4038.29
vehicle_16,2024-01-08 07:00:00,location_17,2024-01-08 14:05:54,location_99,43.0,548.33
vehicle_16,2024-01-08 07:00:00,location_17,2024-01-08 14:54:04,location_99,19.0,897.6
vehicle_10,2024-01-08 07:00:00,location_17,2024-01-08 07:00:00,location_108,55.0,4082.07
vehicle_23,2024-01-08 04:30:00,location_17,2024-01-08 14:31:30,location_214,83.0,5469.82
vehicle_4,2024-01-08 07:30:02,location_200,2024-01-08 09:16:23,location_17,14.0,8205.12
vehicle_30,2024-01-08 06:00:00,location_78,2024-01-08 14:34:00,location_291,14.0,3975.86
vehicle_6,2024-01-08 04:30:00,location_17,2024-01-08 13:40:54,location_167,223.0,5403.92
